"EFF_DATE","ROUTE_TYPE_CODE","ROUTE_ID","ARTCC","WIDTH_SEQ_NO","WIDTH_TEXT"
"2026/01/22","IR","134","ZAB",15,"W105-42.5 TO N32-15 W105-42 TO N32-26 W105-30 TO N32-34"
"2026/01/22","IR","134","ZAB",20,"W105-30 TO N32-44 W105-23 TO POINT OF BEGINNING."
"2026/01/22","IR","135","ZHU",5,"8 NM EITHER SIDE OF CENTERLINE FROM  A TO D;"
"2026/01/22","IR","135","ZHU",10,"5 NM EITHER SIDE OF CENTERLINE FROM D TO F; 8 NM EITHER SIDE OF"
"2026/01/22","IR","135","ZHU",15,"CENTERLINE FROM F TO G."
"2026/01/22","IR","136","ZHU",5,"5 NM EITHER SIDE OF CENTERLINE FROM  A TO D;"
"2026/01/22","IR","136","ZHU",10,"4 NM EITHER SIDE OF CENTERLINE FROM D TO E; 5 NM EITHER SIDE OF"
"2026/01/22","IR","136","ZHU",15,"CENTERLINE FROM E TO F."
"2026/01/22","IR","137","ZAB ZDV",1,"5 NM EITHER SIDE OF CENTERLINE."
"2026/01/22","IR","139","ZFW ZHU",5,"5 NM EITHER SIDE OF CENTERLINE A TO D; 10"
"2026/01/22","IR","139","ZFW ZHU",10,"NM EITHER SIDE OF CENTERLINE D TO E; 5 NM EITHER SIDE OF"
"2026/01/22","IR","139","ZFW ZHU",15,"CENTERLINE E TO F."
"2026/01/22","IR","142","ZAB",1,"STARTING AT N33-17.2 W105-21.3 TO N33-32"
"2026/01/22","IR","142","ZAB",2,"W105-08 TO N34-06 W104-58 TO N34-13 W105-05 TO N34-31"
"2026/01/22","IR","142","ZAB",3,"W105-05 TO N34-32 W104-58 TO N34-42 W105-13 TO N34-42"
"2026/01/22","IR","142","ZAB",4,"W106-14 TO N34-16 W106-30 TO N33-50 W106-30 VIA THE"
"2026/01/22","IR","142","ZAB",5,"SOUTHERN BOUNDARY OF R-5107C TO N33-45 W106-04 TO N33-39"
"2026/01/22","IR","142","ZAB",10,"W105-49 TO N34-27 W105-49 TO N34-22 W105-30 TO N33-35"
"2026/01/22","IR","142","ZAB",15,"W105-14 TO N33-20 W105-26.2 TO POINT OF BEGINNING. ALTERNATE "
"2026/01/22","IR","142","ZAB",20,"EXIT: ELK, 2 NM EITHER SIDE OF CENTERLINE FROM I TO I2."
"2026/01/22","IR","145","ZFW ZKC",5,"3 NM EITHER SIDE OF CENTERLINE FROM A TO D;"
"2026/01/22","IR","145","ZFW ZKC",10,"3 NM EAST AND 6 NM WEST OF CENTERLINE FROM D TO E; 3 NM SOUTH AND 6"
"2026/01/22","IR","145","ZFW ZKC",20,"NM NORTH OF CENTERLINE FROM E TO F; 5 NM EAST AND 3 NM WEST OF"
"2026/01/22","IR","145","ZFW ZKC",25,"CENTERLINE FROM F TO G; 3 NM EITHER SIDE OF CENTERLINE FROM G TO"
"2026/01/22","IR","145","ZFW ZKC",30,"H."
"2026/01/22","IR","146","ZKC",5,"3 NM EITHER SIDE OF CENTERLINE FROM A TO C;"
"2026/01/22","IR","146","ZKC",10,"3 NM EAST AND 5 NM WEST OF CENTERLINE FROM C TO 12 NM BEYOND"
"2026/01/22","IR","146","ZKC",15,"C; 3 NM EITHER SIDE OF CENTERLINE FROM 12 NM BEYOND C TO F; 2"
"2026/01/22","IR","146","ZKC",20,"NM SOUTH AND 6 NM NORTH OF CENTERLINE FROM F TO 12 NM BEYOND"
"2026/01/22","IR","146","ZKC",25,"F; 2 NM EITHER SIDE OF CENTERLINE FROM 12 NM BEYOND F TO I."
"2026/01/22","IR","147","ZHU",5,"3 NM EITHER SIDE OF CENTERLINE FROM A TO C;"
"2026/01/22","IR","147","ZHU",10,"4 NM EITHER SIDE OF CENTERLINE FROM C TO G."
"2026/01/22","IR","148","ZHU",5,"3 NM EITHER SIDE OF CENTERLINE FROM A TO H."
"2026/01/22","IR","149","ZHU",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO B;"
"2026/01/22","IR","149","ZHU",10,"3 NM EITHER SIDE OF CENTERLINE FROM B TO D;"
"2026/01/22","IR","149","ZHU",15,"4 NM EITHER SIDE OF CENTERLINE FROM D TO F;"
"2026/01/22","IR","149","ZHU",20,"5 NM EITHER SIDE OF CENTERLINE FROM F TO H,"
"2026/01/22","IR","149","ZHU",25,"4 NM EITHER SIDE OF CENTERLINE FROM H TO I."
"2026/01/22","IR","154","ZAB ZFW",5,"2 NM EITHER SIDE OF CENTERLINE A TO Q."
"2026/01/22","IR","155","ZAB ZFW",5,"1.5 NM EITHER SIDE OF CENTERLINE FROM A TO"
"2026/01/22","IR","155","ZAB ZFW",10,"B; 5 NM EITHER SIDE OF CENTERLINE FROM B TO K; 2 NM EITHER SIDE OF"
"2026/01/22","IR","155","ZAB ZFW",15,"CENTERLINE K TO N."
"2026/01/22","IR","164","ZFW ZME",5,"5 NM EITHER SIDE OF CENTERLINE FROM  A TO B;"
"2026/01/22","IR","164","ZFW ZME",10,"8 NM EITHER SIDE OF CENTERLINE FROM B TO D; 5 NM LEFT AND 3 NM"
"2026/01/22","IR","164","ZFW ZME",15,"RIGHT OF CENTERLINE FROM D TO E."
"2026/01/22","IR","166","ZHU",5,"5 NM EITHER SIDE OF CENTERLINE FROM A TO I;"
"2026/01/22","IR","166","ZHU",10,"3 NM EITHER SIDE OF CENTERLINE FROM I TO J."
